Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.SBT_8085, 39.0323, 30.59144, 39.0323, 30.59144, 0, 0
Line.SBT_8086, 34.10671, 26.7296, 34.10671, 26.7296, 0, 0
Line.SBT_8087, 1.718241, 1.341422, 1.718241, 1.341422, 0, 0
Line.SBT_8088, 1.95218, 1.52932, 1.95218, 1.52932, 0, 0
Line.SBT_34023, 0.07008279, 0.04831004, 0.07008279, 0.04831004, 0, 0
Line.SBT_23020, 5.717685, 4.475078, 5.717685, 4.475078, 0, 0
Line.SBT_16258, 0.09169736, 0.006132943, 0.09169736, 0.006132943, 0, 0
Line.SBT_14867, 0.2124538, 0.1612202, 0.2124538, 0.1612202, 0, 0
Line.SBT_12857, 0.0114571, 0.003644155, 0.0114571, 0.003644155, 0, 0
Line.SBT_13847, 0.2962088, 0.1465598, 0.2962088, 0.1465598, 0, 0
Line.SBT_23139, 8.836503E-011, -0.00659584, 8.836503E-011, -0.00659584, 0, 0
Line.SBT_23258, -7.419929E-012, -0.004567685, -7.419929E-012, -0.004567685, 0, 0
Line.SBT_8105, -1.265615E-010, -0.007559548, -1.265615E-010, -0.007559548, 0, 0
Line.SBT_8055, 0.8252238, 0.2672729, 0.8252238, 0.2672729, 0, 0
Line.SBT_8056, 1.625388, 0.5264593, 1.625388, 0.5264593, 0, 0
Line.SBT_8318, 1.383047E-010, -0.002085774, 1.383047E-010, -0.002085774, 0, 0
Line.SBT_8250, 4.211375, 1.407591, 4.211375, 1.407591, 0, 0
Line.SBT_8252, 0.7296547, 0.240228, 0.7296547, 0.240228, 0, 0
Line.SBT_8253, -6.897604E-010, -0.003617442, -6.897604E-010, -0.003617442, 0, 0
Line.SBT_8000, 4.496981, 1.503342, 4.496981, 1.503342, 0, 0
Line.SBT_23222, 2.280416, 0.7596002, 2.280416, 0.7596002, 0, 0
Line.SBT_23223, 1.373468, 0.4555097, 1.373468, 0.4555097, 0, 0
Line.SBT_23224, 0.3227943, 0.1599502, 0.3227943, 0.1599502, 0, 0
Line.SBT_13463, 0.3597493, 0.1159322, 0.3597493, 0.1159322, 0, 0
Line.SBT_15467, 5.970072, 1.993762, 5.970072, 1.993762, 0, 0
Line.SBT_14419, 0.0374131, 0.01051767, 0.0374131, 0.01051767, 0, 0
Line.SBT_23229, 0.01134719, -0.009361162, 0.01134719, -0.009361162, 0, 0
Line.SBT_32253, 1.527205, 0.2193653, 1.527205, 0.2193653, 0, 0
Line.SBT_8263, 2.884922, 1.468369, 2.884922, 1.468369, 0, 0
Line.SBT_8264, 0.02466729, 0.006935761, 0.02466729, 0.006935761, 0, 0
Line.SBT_8265, 0.01230413, -0.01015392, 0.01230413, -0.01015392, 0, 0
