
Power Delivery Element Overload Report

SYMMETRICAL COMPONENT CURRENTS BY CIRCUIT ELEMENT 

Element                             Term    I1    IOver %Normal  %Emerg     I2    %I2/I1    I0    %I0/I1
"Line.MT14344_1"          1    45.4 -379.86    11.2  1203.5     1.7     3.8     1.2     2.6
"Line.MT14345_1"          1    45.4 -379.86    11.2  1203.5     1.7     3.8     1.2     2.6
"Line.MT14346_1"          1    45.4 -379.86    11.2  1203.5     1.7     3.8     1.2     2.6
"Line.MT14347_1"          1    45.4 -379.86    11.2  1203.5     1.7     3.8     1.2     2.6
"Line.MT14348_1"          1    45.4 -379.86    11.2  1203.5     1.7     3.8     1.2     2.6
"Line.MT14349_1"          1    45.4 -379.81    11.3  1204.8     1.7     3.7     1.2     2.6
"Line.MT14351_1"          1    47.2 -379.82    11.3  1204.5     1.8     3.7     0.0     0.0
"Line.MT14352_1"          1    47.2 -379.82    11.3  1204.5     1.8     3.7     0.0     0.0
"Line.MT14353_1"          1    47.4 -379.68    11.3  1208.0     1.8     3.7     0.0     0.0
"Line.MT14355_1"          1    47.4 -379.68    11.3  1208.0     1.8     3.7     0.0     0.0
"Line.MT14356_1"          1    47.4 -379.68    11.3  1208.0     1.8     3.7     0.0     0.0
"Line.MT14357_1"          1    47.4 -379.68    11.3  1208.0     1.8     3.7     0.0     0.0
"Line.MT14358_1"          1    47.4 -379.63    11.3  1209.3     1.8     3.7     0.0     0.0
"Line.MT144651_1"         1    40.1 -282.79    13.5   736.8     2.5     6.3     1.9     4.7
"Line.MT15187_1"          1    47.4 -379.63    11.3  1209.3     1.8     3.7     0.0     0.0
"Line.MT15188_1"          1    47.4 -379.63    11.3  1209.3     1.8     3.7     0.0     0.0
"Line.MT15189_1"          1    47.4 -379.63    11.3  1209.3     1.8     3.7     0.0     0.0
"Line.MT15190_1"          1    47.7 -379.28    11.4  1218.0     1.8     3.7     0.0     0.0
"Line.MT15191_1"          1    47.7 -379.28    11.4  1218.0     1.8     3.7     0.0     0.0
"Line.MT15194_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15225_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15226_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15227_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15228_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15229_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15230_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15231_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15234_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15240_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15241_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15242_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15243_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15244_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15245_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15246_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15247_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15248_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15249_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15250_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15252_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15253_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15255_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15256_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15257_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT15258_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15259_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15260_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15261_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15262_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15263_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT15265_1"          1    48.3 -378.42    11.6  1239.4     1.7     3.6     0.2     0.4
"Line.MT15273_1"          1    48.5 -378.31    11.6  1242.2     1.6     3.2     0.2     0.4
"Line.MT15274_1"          1    48.5 -378.31    11.6  1242.2     1.6     3.2     0.2     0.4
"Line.MT15275_1"          1    48.5 -378.31    11.6  1242.2     1.6     3.2     0.2     0.4
"Line.MT15276_1"          1    48.5 -378.31    11.6  1242.2     1.6     3.2     0.2     0.4
"Line.MT15277_1"          1    48.5 -378.31    11.6  1242.2     1.6     3.2     0.2     0.4
"Line.MT15278_1"          1    48.5 -378.31    11.6  1242.2     1.6     3.2     0.2     0.4
"Line.MT15279_1"          1    48.5 -378.31    11.6  1242.1     1.6     3.2     0.2     0.4
"Line.MT15280_1"          1    48.5 -378.30    11.6  1242.6     1.6     3.2     0.2     0.4
"Line.MT15281_1"          1    48.5 -378.30    11.6  1242.5     1.6     3.2     0.2     0.4
"Line.MT15282_1"          1    48.5 -378.30    11.6  1242.5     1.6     3.2     0.2     0.4
"Line.MT15283_1"          1    48.5 -378.30    11.6  1242.5     1.6     3.2     0.2     0.4
"Line.MT15284_1"          1    48.7 -378.30    11.6  1242.5     1.7     3.4     0.2     0.4
"Line.MT15512_1"          1     8.7 -152.61     6.4   129.9     0.9     9.9     1.0    11.5
"Line.MT15513_1"          1     8.7 -152.61     6.4   129.9     0.9    10.1     1.0    11.5
"Line.MT15514_1"          1     8.7 -152.61     6.4   129.9     0.9    10.1     1.0    11.5
"Line.MT15515_1"          1     8.7 -152.61     6.4   129.9     0.9    10.1     1.0    11.5
"Line.MT15524_1"          1     8.7 -152.67     6.3   129.2     0.9     9.9     1.0    11.4
"Line.MT15526_1"          1     8.6 -152.72     6.3   128.5     0.9     9.9     1.0    11.4
"Line.MT15527_1"          1     8.6 -152.72     6.3   128.5     0.9     9.9     1.0    11.4
"Line.MT15528_1"          1     8.6 -152.72     6.3   128.5     0.9     9.9     1.0    11.4
"Line.MT15529_1"          1     8.6 -152.72     6.3   128.5     0.9     9.9     1.0    11.4
"Line.MT15530_1"          1     8.6 -152.72     6.3   128.5     0.9     9.9     1.0    11.4
"Line.MT15531_1"          1     8.6 -152.73     6.3   128.3     0.9    10.0     1.0    11.4
"Line.MT15532_1"          1     8.6 -152.73     6.3   128.3     0.9    10.0     1.0    11.4
"Line.MT15552_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT15573_1"          1    22.0 -303.50     7.2   391.6     1.2     5.5     0.3     1.4
"Line.MT15575_1"          1    22.0 -303.50     7.2   391.6     1.2     5.5     0.3     1.4
"Line.MT15576_1"          1    22.0 -303.50     7.2   391.6     1.2     5.5     0.3     1.4
"Line.MT15577_1"          1    25.5 -298.88     8.6   468.6     1.7     6.7     0.9     3.6
"Line.MT15578_1"          1    25.5 -298.88     8.6   468.6     1.7     6.7     0.9     3.6
"Line.MT15579_1"          1    25.5 -298.88     8.6   468.6     1.7     6.7     0.9     3.6
"Line.MT15580_1"          1    25.6 -298.75     8.6   470.8     1.7     6.7     0.9     3.6
"Line.MT15581_1"          1    25.8 -298.57     8.7   473.8     1.7     6.6     0.9     3.5
"Line.MT15612_1"          1    26.0 -298.47     8.7   475.5     1.7     6.5     0.9     3.5
"Line.MT15625_1"          1    25.8 -298.57     8.7   473.8     1.7     6.6     0.9     3.5
"Line.MT15661_1"          1    48.7 -378.28    11.6  1243.0     1.7     3.4     0.2     0.4
"Line.MT15662_1"          1    48.7 -378.28    11.6  1243.0     1.7     3.4     0.2     0.4
"Line.MT15663_1"          1    48.7 -378.28    11.6  1243.0     1.7     3.4     0.2     0.4
"Line.MT15664_1"          1    48.8 -378.28    11.6  1243.0     1.6     3.2     0.1     0.2
"Line.MT15665_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.2     0.1     0.2
"Line.MT15666_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.2     0.1     0.2
"Line.MT15667_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.2     0.1     0.2
"Line.MT15668_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.0     0.0     0.1
"Line.MT15669_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.0     0.0     0.1
"Line.MT15670_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.0     0.0     0.1
"Line.MT15671_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.0     0.0     0.1
"Line.MT15672_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.0     0.0     0.1
"Line.MT15673_1"          1    49.0 -378.06    11.7  1248.4     1.5     3.1     0.1     0.1
"Line.MT15674_1"          1    49.0 -378.06    11.7  1248.4     1.5     3.1     0.1     0.1
"Line.MT15675_1"          1    49.0 -378.06    11.7  1248.4     1.5     3.1     0.1     0.1
"Line.MT15676_1"          1    49.0 -378.06    11.7  1248.4     1.5     3.1     0.1     0.1
"Line.MT15677_1"          1    49.0 -378.06    11.7  1248.4     1.5     3.1     0.1     0.1
"Line.MT15679_1"          1    49.2 -377.50    11.8  1262.5     1.6     3.3     0.3     0.5
"Line.MT15680_1"          1    49.2 -377.50    11.8  1262.5     1.6     3.3     0.3     0.5
"Line.MT15681_1"          1    49.2 -377.50    11.8  1262.5     1.6     3.3     0.3     0.5
"Line.MT15683_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT16569_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT16921_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT16923_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT16924_1"          1    11.6 -150.57     7.6   155.3     0.9     7.6     0.0     0.3
"Line.MT16925_1"          1    11.6 -150.57     7.6   155.3     0.9     7.6     0.0     0.3
"Line.MT16926_1"          1    11.6 -150.57     7.6   155.3     0.9     7.6     0.0     0.3
"Line.MT16927_1"          1    11.6 -150.57     7.6   155.3     0.9     7.6     0.0     0.3
"Line.MT16928_1"          1    11.6 -150.57     7.6   155.3     0.9     7.6     0.0     0.3
"Line.MT16929_1"          1    11.6 -150.58     7.6   155.3     0.9     7.6     0.0     0.3
"Line.MT16932_1"          1    21.7 -304.28     6.9   378.7     1.0     4.5     0.1     0.4
"Line.MT16934_1"          1    21.9 -303.62     7.1   389.7     1.2     5.4     0.3     1.3
"Line.MT16935_1"          1    21.9 -303.56     7.2   390.7     1.2     5.5     0.3     1.4
"Line.MT16966_1"          1    21.9 -303.56     7.2   390.7     1.2     5.5     0.3     1.4
"Line.MT16967_1"          1    21.9 -303.56     7.2   390.7     1.2     5.5     0.3     1.4
"Line.MT16969_1"          1    21.9 -303.56     7.2   390.7     1.2     5.5     0.3     1.4
"Line.MT16986_1"          1    26.0 -298.47     8.7   475.5     1.7     6.5     0.9     3.5
"Line.MT16987_1"          1    26.0 -298.45     8.7   475.9     1.7     6.5     0.9     3.5
"Line.MT16988_1"          1    26.0 -298.45     8.7   475.9     1.7     6.5     0.9     3.5
"Line.MT16989_1"          1    26.0 -298.45     8.7   475.9     1.7     6.5     0.9     3.5
"Line.MT16990_1"          1    26.1 -298.19     8.8   480.2     1.8     6.8     1.0     3.8
"Line.MT17008_1"          1    26.1 -297.95     8.9   484.1     1.8     7.1     1.1     4.1
"Line.MT17009_1"          1    26.1 -297.95     8.9   484.1     1.8     7.1     1.1     4.1
"Line.MT17010_1"          1    26.1 -297.96     8.9   484.1     1.8     7.1     1.1     4.1
"Line.MT17011_1"          1    26.2 -297.83     8.9   486.2     1.9     7.2     1.1     4.3
"Line.MT17013_1"          1    26.2 -297.83     8.9   486.2     1.9     7.2     1.1     4.3
"Line.MT17014_1"          1    26.2 -297.83     8.9   486.2     1.9     7.2     1.1     4.3
"Line.MT17015_1"          1    26.2 -297.83     8.9   486.2     1.9     7.2     1.1     4.3
"Line.MT17016_1"          1    32.9 -289.83    11.4   619.4     2.6     8.0     1.8     5.5
