Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.RBT_312529, -1.079175E-010, -0.001388278, -1.079175E-010, -0.001388278, 0, 0
Line.RBT_312154, 1.994569, 0.1063001, 1.994569, 0.1063001, 0, 0
Line.RBT_331500, 0.04976087, 0.001962738, 0.04976087, 0.001962738, 0, 0
Line.RBT_1918366, 0.02664148, -0.0007885691, 0.02664148, -0.0007885691, 0, 0
Line.RBT_318372, 1.412, 0.07449822, 1.412, 0.07449822, 0, 0
Line.RBT_311917, 0.1355081, 0.006077021, 0.1355081, 0.006077021, 0, 0
Line.RBT_311753, 3.231296E-010, -0.0004431516, 3.231296E-010, -0.0004431516, 0, 0
Line.RBT_311754, 0.000779229, -0.003533986, 0.000779229, -0.003533986, 0, 0
Line.RBT_320689, 0.09578488, 0.002145644, 0.09578488, 0.002145644, 0, 0
Line.RBT_336102, 0.0772079, 0.002659345, 0.0772079, 0.002659345, 0, 0
Line.RBT_311979, 0.0812324, 0.003831195, 0.0812324, 0.003831195, 0, 0
Line.RBT_311909, 0.242262, 0.01243177, 0.242262, 0.01243177, 0, 0
Line.RBT_321043, 0.3589261, 0.01619776, 0.3589261, 0.01619776, 0, 0
Line.RBT_329253, 0.292831, 0.01098025, 0.292831, 0.01098025, 0, 0
Line.RBT_326320, 0.3991415, 0.0205443, 0.3991415, 0.0205443, 0, 0
Line.RBT_311914, -2.635484E-012, -0.001206225, -2.635484E-012, -0.001206225, 0, 0
Line.RBT_311915, 0.06897362, 0.002913161, 0.06897362, 0.002913161, 0, 0
Line.RBT_1929864, 0.168568, 0.007580595, 0.168568, 0.007580595, 0, 0
Line.RBT_311918, 0.3945267, 0.01842199, 0.3945267, 0.01842199, 0, 0
Line.RBT_311919, 0.02025938, 8.111008E-005, 0.02025938, 8.111008E-005, 0, 0
Line.RBT_311927, 0.1571243, 0.0039454, 0.1571243, 0.0039454, 0, 0
Line.RBT_311928, 0.02403572, 0.0009756107, 0.02403572, 0.0009756107, 0, 0
Line.RBT_311930, 0.2318548, 0.01162531, 0.2318548, 0.01162531, 0, 0
Line.RBT_312543, 0.2754939, 0.01455483, 0.2754939, 0.01455483, 0, 0
Line.RBT_312390, 0.1582765, 0.00758621, 0.1582765, 0.00758621, 0, 0
Line.RBT_329502, 2.020265E-005, -0.001330473, 2.020265E-005, -0.001330473, 0, 0
Line.RBT_325116, 1.815585E-011, -0.001456736, 1.815585E-011, -0.001456736, 0, 0
Line.RBT_328932, 0.01306181, -0.0009287236, 0.01306181, -0.0009287236, 0, 0
Line.RBT_338734, -6.015339E-010, -0.0002426062, -6.015339E-010, -0.0002426062, 0, 0
Line.RBT_336002, 12.14799, 0.644787, 12.14799, 0.644787, 0, 0
Line.RBT_318363, 0.01155796, -8.944135E-007, 0.01155796, -8.944135E-007, 0, 0
Line.RBT_326338, 2.047563, 0.1065299, 2.047563, 0.1065299, 0, 0
Line.RBT_311981, 0.1284007, 0.005837962, 0.1284007, 0.005837962, 0, 0
Line.RBT_311982, 0.2707612, 0.01237464, 0.2707612, 0.01237464, 0, 0
Line.RBT_318031, 0.585176, 0.03038737, 0.585176, 0.03038737, 0, 0
Line.RBT_312137, 0.05467707, 0.00182204, 0.05467707, 0.00182204, 0, 0
Line.RBT_325732, 0.1860948, 0.008527451, 0.1860948, 0.008527451, 0, 0
Line.RBT_311913, 0.3332238, 0.01253677, 0.3332238, 0.01253677, 0, 0
Line.RBT_326750, 0.2482431, 0.01290614, 0.2482431, 0.01290614, 0, 0
Line.RBT_327853, 2.329782E-010, -0.0008237962, 2.329782E-010, -0.0008237962, 0, 0
Line.RBT_311910, 0.03080547, 0.001205319, 0.03080547, 0.001205319, 0, 0
Line.RBT_311907, 0.4531423, 0.02193715, 0.4531423, 0.02193715, 0, 0
Line.RBT_336452, 0.2879018, 0.01114435, 0.2879018, 0.01114435, 0, 0
Line.RBT_311920, 0.6912, 0.03207736, 0.6912, 0.03207736, 0, 0
Line.RBT_330353, 0.03640747, 0.0006134341, 0.03640747, 0.0006134341, 0, 0
Line.RBT_318457, 0.0329312, 0.0009402814, 0.0329312, 0.0009402814, 0, 0
Line.RBT_320512, 0.01582433, -0.0006325116, 0.01582433, -0.0006325116, 0, 0
Line.RBT_318467, 0.0137596, -0.003357816, 0.0137596, -0.003357816, 0, 0
Line.RBT_325114, 0.03460847, -0.003487987, 0.03460847, -0.003487987, 0, 0
Line.RBT_311748, 0.007361812, -0.00138617, 0.007361812, -0.00138617, 0, 0
Line.RBT_333138, 0.0379824, -0.001941167, 0.0379824, -0.001941167, 0, 0
Line.RBT_332256, 0.2602822, 0.009908376, 0.2602822, 0.009908376, 0, 0
Line.RBT_332255, 0.6476641, 0.03325685, 0.6476641, 0.03325685, 0, 0
Line.RBT_1931829, 4.073724, 0.2167481, 4.073724, 0.2167481, 0, 0
Line.RBT_1935348, 1.07166, 0.05576725, 1.07166, 0.05576725, 0, 0
Line.RBT_1937062, 1.186125E-010, -0.004877229, 1.186125E-010, -0.004877229, 0, 0
Line.RBT_1913298, 1.39043, 0.07332147, 1.39043, 0.07332147, 0, 0
Line.RBT_323364, 0.2494448, 0.01227771, 0.2494448, 0.01227771, 0, 0
Line.RBT_312149, 0.1762282, 0.008817699, 0.1762282, 0.008817699, 0, 0
Line.RBT_312141, 0.5065088, 0.0257317, 0.5065088, 0.0257317, 0, 0
Line.RBT_312142, 0.08182068, 0.003335542, 0.08182068, 0.003335542, 0, 0
Line.RBT_312143, 0.1896194, 0.008705866, 0.1896194, 0.008705866, 0, 0
Line.RBT_312144, 0.2364207, 0.01222078, 0.2364207, 0.01222078, 0, 0
Line.RBT_311986, -2.4949E-010, -0.0009855965, -2.4949E-010, -0.0009855965, 0, 0
Line.RBT_318475, 0.01161182, 0.0001664128, 0.01161182, 0.0001664128, 0, 0
Line.RBT_320691, 0.005976848, -0.0003080892, 0.005976848, -0.0003080892, 0, 0
Line.RBT_326322, 1.784228, 0.09466263, 1.784228, 0.09466263, 0, 0
Line.RBT_335514, 0.05548938, 0.002097267, 0.05548938, 0.002097267, 0, 0
Line.RBT_332735, 0.2094715, 0.01035872, 0.2094715, 0.01035872, 0, 0
Line.RBT_312134, 0.001116726, -0.0008592321, 0.001116726, -0.0008592321, 0, 0
Line.RBT_337049, 0.06710121, -0.0008186743, 0.06710121, -0.0008186743, 0, 0
Line.RBT_312146, 0.8612517, 0.04413373, 0.8612517, 0.04413373, 0, 0
Line.RBT_311989, 0.4843751, 0.02247825, 0.4843751, 0.02247825, 0, 0
Line.RBT_311990, 3.233652E-005, -0.001082133, 3.233652E-005, -0.001082133, 0, 0
Line.RBT_311985, 0.006054875, -0.001625792, 0.006054875, -0.001625792, 0, 0
Line.RBT_312139, 0.04883127, 0.001771124, 0.04883127, 0.001771124, 0, 0
Line.RBT_312150, 0.02865245, 0.001150968, 0.02865245, 0.001150968, 0, 0
Line.RBT_323370, 0.01919285, 0.0002063644, 0.01919285, 0.0002063644, 0, 0
Line.RBT_311922, 10.12038, 0.5362601, 10.12038, 0.5362601, 0, 0
Line.RBT_1935553, 2.639816, 0.1368312, 2.639816, 0.1368312, 0, 0
Line.RBT_335344, 0.1260849, 0.001610357, 0.1260849, 0.001610357, 0, 0
Line.RBT_320520, 0.3418278, 0.01657369, 0.3418278, 0.01657369, 0, 0
Line.RBT_311908, 0.05365975, 0.002098443, 0.05365975, 0.002098443, 0, 0
Line.RBT_336435, 0.1153948, 0.001750593, 0.1153948, 0.001750593, 0, 0
Line.RBT_318466, 0.2339715, 0.01154404, 0.2339715, 0.01154404, 0, 0
Line.RBT_336326, 0.01840404, 0.0003524302, 0.01840404, 0.0003524302, 0, 0
Line.RBT_312138, 0.1583759, 0.004926396, 0.1583759, 0.004926396, 0, 0
Line.RBT_311752, 0.09616991, 0.004801268, 0.09616991, 0.004801268, 0, 0
Line.RBT_337834, 0.05924997, 0.002683392, 0.05924997, 0.002683392, 0, 0
Line.RBT_337659, 0.1149407, 0.004733194, 0.1149407, 0.004733194, 0, 0
Line.RBT_330278, 0.4647803, 0.02165451, 0.4647803, 0.02165451, 0, 0
Line.RBT_320152, 0.02367693, -0.0001460813, 0.02367693, -0.0001460813, 0, 0
Line.RBT_311749, 1.160907, 0.06110692, 1.160907, 0.06110692, 0, 0
Line.RBT_3314362, 0.2676675, 0.01359574, 0.2676675, 0.01359574, 0, 0
Line.RBT_3314808, 0.07808693, 0.002817348, 0.07808693, 0.002817348, 0, 0
Line.RBT_3314809, 0.0626022, 0.002432704, 0.0626022, 0.002432704, 0, 0
Line.RBT_3336607, 0.3740157, 0.01731773, 0.3740157, 0.01731773, 0, 0
Line.RBT_3336609, 0.01492194, 0.0001695615, 0.01492194, 0.0001695615, 0, 0
Line.RBT_3329729, 0.4528671, 0.02325173, 0.4528671, 0.02325173, 0, 0
Line.RBT_3321060, 0.4563447, 0.02385399, 0.4563447, 0.02385399, 0, 0
Line.RBT_3314818, 0.003747757, -0.0005356343, 0.003747757, -0.0005356343, 0, 0
Line.RBT_3314820, 0.1553113, 0.007905976, 0.1553113, 0.007905976, 0, 0
Line.RBT_3314727, 0.241153, 0.01253537, 0.241153, 0.01253537, 0, 0
Line.RBT_3314734, 0.008209657, 0.0003229288, 0.008209657, 0.0003229288, 0, 0
Line.RBT_3314735, 0.8780339, 0.04561089, 0.8780339, 0.04561089, 0, 0
Line.RBT_3314736, 0.01258925, 0.0006090388, 0.01258925, 0.0006090388, 0, 0
Line.RBT_3314737, 0.003558931, -0.00122902, 0.003558931, -0.00122902, 0, 0
Line.RBT_3318767, 0.3787578, 0.01944132, 0.3787578, 0.01944132, 0, 0
Line.RBT_3314730, 0.0001503382, -0.00105841, 0.0001503382, -0.00105841, 0, 0
Line.RBT_3326510, 0.1796285, 0.009259902, 0.1796285, 0.009259902, 0, 0
Line.RBT_3326264, 0.02532712, 0.0005277617, 0.02532712, 0.0005277617, 0, 0
